district,year,lnavgsalary_cpi,oncycle,lnenrollment,lnt1_cpi,teachers_avg_yrs_exper,ami_pc,asian_pc,black_pc,hisp_pc
4800001,2003,10.636093139648438,0,6.142037391662598,18.234540939331055,13.020000457763672,0,0,0.06666667014360428,0.6516128778457642
4800001,2004,10.608062744140625,0,6.098074436187744,18.187219619750977,12.079999923706055,0,0,0.049438200891017914,0.6651685237884521
4800001,2005,10.589192390441895,0,6.133398056030273,18.13391876220703,13.359999656677246,0.004338394850492477,0,0.041214749217033386,0.6854663491249084
4800001,2006,10.612335205078125,0,6.118097305297852,18.090269088745117,13.079999923706055,0.0044052861630916595,0,0.048458151519298553,0.7290748953819275
4800001,2007,10.600157737731934,0,6.0258660316467285,18.033720016479492,12.220000267028809,0.004830917809158564,0,0.03381642326712608,0.7004830837249756
4800001,2008,10.582966804504395,0,6.0185933113098145,18.016265869140625,11.300000190734863,0.004866180010139942,0.004866180010139942,0.03892944008111954,0.669099748134613
4800001,2009,10.618715286254883,0,6.052089214324951,18.17817497253418,10.890000343322754,0.004705882165580988,0,0.03999999910593033,0.6611764430999756
4800002,2003,10.632994651794434,0,5.683579921722412,18.596954345703125,14.4399995803833,0.003401360474526882,0,0.040816325694322586,0.3639455735683441
4800002,2004,10.612252235412598,0,5.659482002258301,18.662202835083008,13.6899995803833,0.003484320593997836,0,0.03135888651013374,0.39372822642326355
4800002,2005,10.60196590423584,0,5.613128185272217,18.805721282958984,14.699999809265137,0.0036496350076049566,0,0.025547444820404053,0.36496350169181824
4800002,2006,10.661432266235352,0,5.648974418640137,18.963668823242188,15.359999656677246,0.01056338008493185,0,0.017605634406208992,0.42957746982574463
4800002,2007,10.65324878692627,0,5.676753997802734,19.143171310424805,15.40999984741211,0.006849315017461777,0,0.02054794505238533,0.4212328791618347
4800002,2008,10.664667129516602,0,5.676753997802734,19.3120059967041,16.06999969482422,0.006849315017461777,0,0.02054794505238533,0.43150684237480164
4800002,2009,10.710704803466797,0,5.736572265625,19.59488868713379,17.959999084472656,0.006451612804085016,0,0.022580645978450775,0.4677419364452362
4800003,2003,10.666827201843262,0,5.888877868652344,19.268842697143555,14.079999923706055,0,0.008310249075293541,0.013850415125489235,0.7673130035400391
4800003,2004,10.579105377197266,0,5.897153854370117,19.142213821411133,11.619999885559082,0,0,0.01373626384884119,0.7582417726516724
4800003,2005,10.560867309570312,0,5.826000213623047,19.285236358642578,12.859999656677246,0,0,0.02064896747469902,0.7846607565879822
4800003,2006,10.64022159576416,0,5.828945636749268,19.297632217407227,12.5,0,0,0.014705882407724857,0.7882353067398071
4800003,2007,10.617607116699219,0,5.837730407714844,19.555328369140625,12.949999809265137,0,0,0.02332361601293087,0.7842565774917603
4800003,2008,10.654973983764648,0,5.817111015319824,19.514175415039062,14.949999809265137,0.0059523810632526875,0,0.02083333395421505,0.773809552192688
4800003,2009,10.671152114868164,0,5.697093486785889,19.567609786987305,14.3100004196167,0,0,0.00671140942722559,0.7751677632331848
4800005,2003,10.602059364318848,0,4.934473991394043,18.607210159301758,11.380000114440918,0,0,0,0.14388489723205566
4800005,2004,10.522236824035645,0,4.8828020095825195,18.504432678222656,9.210000038146973,0,0,0,0.2348484843969345
4800005,2005,10.482149124145508,0,4.8828020095825195,18.720748901367188,10.0600004196167,0,0.01515151560306549,0,0.1818181872367859
4800005,2006,10.617643356323242,0,4.9416422843933105,18.959009170532227,10.420000076293945,0.0071428571827709675,0,0,0.20000000298023224
4800005,2007,10.613792419433594,0,5.056245803833008,19.326417922973633,11.25,0,0,0,0.15286624431610107
4800005,2008,10.646234512329102,0,5.056245803833008,20.556303024291992,10.729999542236328,0,0,0,0.14649681746959686
4800005,2009,10.677183151245117,0,5.0998663902282715,20.611852645874023,12.229999542236328,0.012195121496915817,0,0,0.15243902802467346
4800006,2003,10.63446044921875,0,5.463831901550293,18.635910034179688,12.25,0,0,0.055084746330976486,0.15677966177463531
4800006,2004,10.634477615356445,0,5.438079357147217,18.45049285888672,14.770000457763672,0,0,0.06956521421670914,0.17826086282730103
4800006,2005,10.664085388183594,0,5.493061542510986,18.50276756286621,16.920000076293945,0,0,0.05349794402718544,0.16872428357601166
4800006,2006,10.687564849853516,0,5.488937854766846,18.718093872070312,15.369999885559082,0.00413223123177886,0,0.057851240038871765,0.1694214940071106
4800006,2007,10.671215057373047,0,5.5606818199157715,18.851764678955078,16.100000381469727,0.007692307699471712,0,0.06538461893796921,0.20384615659713745
4800006,2008,10.647113800048828,0,5.442417621612549,18.854808807373047,16.209999084472656,0.008658008649945259,0,0.051948051899671555,0.25108224153518677
4800006,2009,10.614937782287598,0,5.472270488739014,19.027902603149414,15.789999961853027,0.008403361774981022,0.008403361774981022,0.054621849209070206,0.25630253553390503
4800007,2003,10.641589164733887,0,5.267858028411865,17.88749885559082,14.1899995803833,0,0,0.005154639016836882,0.1494845300912857
4800007,2004,10.601646423339844,0,5.267858028411865,17.889019012451172,13.649999618530273,0,0,0.005154639016836882,0.1494845300912857
4800007,2005,10.546051979064941,0,5.267858028411865,17.909635543823242,11.710000038146973,0,0,0.005154639016836882,0.17525772750377655
4800007,2006,10.531746864318848,0,5.0106353759765625,17.979467391967773,9.449999809265137,0,0,0,0.1733333319425583
4800007,2007,10.592637062072754,1,5.049856185913086,18.036720275878906,11.949999809265137,0,0,0,0.21153846383094788
4800007,2008,10.640005111694336,1,5.105945587158203,18.033395767211914,14.550000190734863,0,0,0,0.1878787875175476
