schlcode,c_size,c_boys,c_girls,c_numcl,c_pik,c_status,c_leom,c_tip,c_num4rd,c_type,flgrm4,mrkgrm4,ngrm4,flmth4,mrkmth4,nmth4,towncode,townname,popcode,tip_a,grade,classid,classize,_type_,_freq_,cohsize,mathsize,avgmath,passmath,verbsize,avgverb,passverb,studchk,misskov2,missagg,nmiss_k,nmiss_a,classct,math_n,flmath_n,nmath_n,verb_n,flverb_n,nverb_n,impute,nverb_m,nmath_m,tip_s,townid,tipuach
61040,28,20,8,9,2,1,1,6,1,1,15,69,27,66.66999816894531,64,27,90001,’<81>™ ˜€<81>,12,53,4,1,28,0,1,28,27,64,66.66999816894531,27,69,15,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,53,90001,53
61042,30,10,20,9,2,2,1,8,1,1,13,72,30,43.33000183105469,59,30,7237,‰ƒ‚„ š‰<81>,12,45,4,1,30,0,1,30,30,58.93000030517578,43.29999923706055,30,71.5,13.300000190734863,1,0,0,0,0,1,58.93000030517578,43.29999923706055,30,71.5,13.300000190734863,30,0,NA,NA,45,7237,45
61043,15,9,6,3,1,1,1,1,1,1,13,71,15,40,79,15,5983,„Ž— š‰<81>,11,13,4,1,15,0,1,15,15,79.06999969482422,40,15,70.529998779296875,13.300000190734863,1,0,0,0,0,1,79.06999969482422,40,15,70.529998779296875,13.300000190734863,15,0,NA,NA,13,5983,13
61047,17,11,6,7,2,2,1,8,1,1,0,81,14,14.289999961853027,76,14,7468,„‰‹˜<81>,12,36,4,1,17,0,1,17,14,76.43000030517578,14.300000190734863,14,80.86000061035156,0,1,0,0,0,0,1,76.43000030517578,14.300000190734863,14,80.86000061035156,0,14,0,NA,NA,36,7468,36
61049,84,43,41,17,1,1,1,1,3,2,9,75,74,37.84000015258789,64,74,4242,<8d>‰<81>‚,11,2,4,2,43,0,2,84,35,66.970001220703125,28.600000381469727,35,76.51000213623047,5.699999809265137,1,0,0,1,0,2,66.970001220703125,28.600000381469727,35,76.51000213623047,5.699999809265137,35,0,NA,NA,2,4242,2
61049,84,43,41,17,1,1,1,1,3,2,9,75,74,37.84000015258789,64,74,4242,<8d>‰<81>‚,11,2,4,1,41,0,2,84,39,61.33461380004883,46.13230895996094,39,73.6448745727539,11.961538314819336,NA,1,0,1,0,2,66.970001220703125,28.600000381469727,35,76.51000213623047,5.699999809265137,35,1,39,39,2,4242,2
61055,63,38,25,13,2,1,1,2,3,2,11,78,56,22.809999465942383,72,57,6924,˜‰”™,12,9,4,1,26,0,2,50,29,71.410003662109375,24.100000381469727,28,76.68000030517578,10.699999809265137,1,0,0,0,0,2,71.94544219970703,22.773683547973633,57,78.1449966430664,10.699999809265137,56,0,NA,NA,9,6924,9
61055,63,38,25,13,2,1,1,2,3,2,11,78,56,22.809999465942383,72,57,6924,˜‰”™,12,9,4,2,24,0,2,50,28,72.5,21.399999618530273,28,79.61000061035156,10.699999809265137,1,0,0,0,0,2,71.94544219970703,22.773683547973633,57,78.1449966430664,10.699999809265137,56,0,NA,NA,9,6924,9
61058,33,10,23,8,1,2,1,5,1,1,36,58,25,60,58,25,22004,„<90>…Ž‰ƒ,11,32,4,1,33,0,1,33,25,58.400001525878906,60,25,57.959999084472656,36,1,0,0,0,0,1,58.400001525878906,60,25,57.959999084472656,36,25,0,NA,NA,32,22004,32
61063,22,12,10,6,1,1,1,1,1,1,6,80,16,37.5,69,16,4069,ƒ…ƒ™€-˜…–‡,11,0,4,1,22,0,1,22,16,69.5,37.5,16,79.87999725341797,6.300000190734863,1,0,0,0,0,1,69.5,37.5,16,79.87999725341797,6.300000190734863,16,0,NA,NA,0,4069,0
61064,22,8,14,9,1,1,1,1,1,1,0,86,22,18.18000030517578,74,22,3970,<8d>‰˜–‡,11,1,4,1,22,0,1,22,22,74,18.18000030517578,22,86,0,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3970,1
61070,108,52,56,20,1,2,1,5,5,3,24,61,67,44.779998779296875,57,67,8318,<8d>‡…˜‰,11,35,4,1,27,0,3,69,23,45.959999084472656,60.900001525878906,22,53.54999923706055,40.900001525878906,1,0,0,0,0,3,56.71820831298828,44.79850769042969,67,61.165523529052734,23.89402961730957,67,0,NA,NA,35,8318,35
61070,108,52,56,20,1,2,1,5,5,3,24,61,67,44.779998779296875,57,67,8318,<8d>‡…˜‰,11,35,4,2,29,0,3,69,20,65.19999694824219,30,21,65.70999908447266,14.300000190734863,1,0,0,0,0,3,56.71820831298828,44.79850769042969,67,61.165523529052734,23.89402961730957,67,0,NA,NA,35,8318,35
61070,108,52,56,20,1,2,1,5,5,3,24,61,67,44.779998779296875,57,67,8318,<8d>‡…˜‰,11,35,4,3,13,0,3,69,24,59.959999084472656,41.70000076293945,24,64.16999816894531,16.700000762939453,1,0,0,0,0,3,56.71820831298828,44.79850769042969,67,61.165523529052734,23.89402961730957,67,0,NA,NA,35,8318,35
61073,77,37,40,16,1,2,1,5,3,2,2,83,50,7.840000152587891,81,51,10801,<8d>‰’…<81>Ž,11,30,4,1,34,0,2,63,27,81.5199966430664,3.700000047683716,27,82.19000244140625,3.700000047683716,1,0,0,0,0,2,81.21882629394531,7.841176509857178,51,83.2020034790039,1.9980000257492065,50,0,NA,NA,30,10801,30
61073,77,37,40,16,1,2,1,5,3,2,2,83,50,7.840000152587891,81,51,10801,<8d>‰’…<81>Ž,11,30,4,2,29,0,2,63,24,80.87999725341797,12.5,23,84.38999938964844,0,1,0,0,0,0,2,81.21882629394531,7.841176509857178,51,83.2020034790039,1.9980000257492065,50,0,NA,NA,30,10801,30
61074,101,48,53,20,1,2,1,1,3,3,23,70,93,25.809999465942383,69,93,8292,<8d>‰‡ˆ<81>Ž,11,5,4,2,34,0,3,101,30,69.37000274658203,20,30,70.9000015258789,26.700000762939453,1,0,0,1,0,3,71.54508209228516,16.391803741455078,61,72.39409637451172,21.313114166259766,61,0,NA,NA,5,8292,5
61074,101,48,53,20,1,2,1,1,3,3,23,70,93,25.809999465942383,69,93,8292,<8d>‰‡ˆ<81>Ž,11,5,4,3,34,0,3,101,31,73.6500015258789,12.899999618530273,31,73.839996337890625,16.100000381469727,1,0,0,1,0,3,71.54508209228516,16.391803741455078,61,72.39409637451172,21.313114166259766,61,0,NA,NA,5,8292,5
